Sample,Date_Collected,Sample_or_Control,Substrate,SampleType,Site,Site_SampleType,Include_in_Levi_analysis,Latitude,Longitude,River_Bottom,Biofilm,Habitat,Depth,Features
K0782_M8,2021-02-21T10:06:51.939-08:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.987248,-118.172129,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
K0787_A1,2021-02-21T10:12:04.199-08:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.987858,-118.172537,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
K0787_E4,2021-02-21T10:19:50.525-08:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.987448,-118.172187,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
K0787_L7,2021-02-21T10:26:23.041-08:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.987035,-118.171731,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
K0787_M8,2021-02-21T10:31:26.660-08:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.986644,-118.17165,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0788_B2,2021-02-21T10:34:03.611-08:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.987068,-118.172146,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
SD_DB1,2021-02-21T10:36:53.531-08:00,Sample,Water,DB,Sepulveda_Dam,Sepulveda_Dam_DB,Yes,34.168786,-118.474776,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
SD_DB2,2021-02-21T10:39:51.378-08:00,Sample,Water,DB,Sepulveda_Dam,Sepulveda_Dam_DB,Yes,34.168907,-118.475211,"all hard bottom, entirely channelized, concrete fully present","Yes, thin layer present",Fully submerged,Top layer (top 3cm) soil or sediment,Open water
SD_PN1,2021-02-21T11:33:16.337-08:00,Sample,Water,PN,Sepulveda_Dam,Sepulveda_Dam_PN,Yes,34.168762,-118.474815,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
SD_PN2,2021-02-21T11:37:14.732-08:00,Sample,Water,PN,Sepulveda_Dam,Sepulveda_Dam_PN,Yes,34.168708,-118.475029,"all hard bottom, entirely channelized, concrete fully present","Yes, thin layer present",Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0568_K6,2021-02-21T11:41:43.616-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.168691,-118.47494,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Slope/slant Pit or ravine
K0568_L7,2021-02-21T11:47:40.121-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.169046,-118.47537,"all hard bottom, entirely channelized, concrete fully present","Yes, thin layer present",Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0591_E4,2021-02-21T11:52:24.892-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.168855,-118.474815,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Slope/slant Pit or ravine
K0591_G5,2021-02-21T11:59:55.289-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.168777,-118.474839,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0600_B2,2021-02-21T12:02:54.745-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.168802,-118.474841,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash Pit or ravine
K0600_C3,2021-02-21T12:22:53.430-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.168834,-118.474808,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0600_E4,2021-02-21T12:36:07.150-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.169116,-118.475307,"all hard bottom, entirely channelized, concrete fully present","Yes, thin layer present",Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0600_M8,2021-02-21T12:40:27.884-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.169882,-118.47591,"all hard bottom, entirely channelized, concrete fully present","Yes, thin layer present",Fully submerged,Top layer (top 3cm) soil or sediment,Open water
TW_DB1,2021-02-21T12:45:10.383-08:00,Sample,Water,DB,Tujunga_Wash,Tujunga_Wash_DB,Yes,34.256663,-118.387211,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
TW_DB2,2021-02-21T12:57:29.168-08:00,Sample,Water,DB,Tujunga_Wash,Tujunga_Wash_DB,Yes,34.252398,-118.38961,"all hard bottom, entirely channelized, concrete fully present",No layer present,"Terrestrial habitat, not submerged",Top layer (top 3cm) soil or sediment,Basin/wash
TW_PN1,2021-02-21T14:09:30.325-08:00,Sample,Water,PN,Tujunga_Wash,Tujunga_Wash_PN,Yes,34.256684,-118.387281,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
TW_PN2,2021-02-21T14:16:53.511-08:00,Sample,Water,PN,Tujunga_Wash,Tujunga_Wash_PN,Yes,34.256228,-118.387734,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0563_M8,2021-02-21T14:21:55.292-08:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.256629,-118.387317,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0568_G5,2021-02-21T14:27:40.645-08:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.256026,-118.387831,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present",Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0569_G5,2021-02-21T14:31:14.470-08:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.256745,-118.387206,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present",Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0569_K6,2021-02-21T14:41:03.406-08:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.256291,-118.387686,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0569_L7,2021-02-21T14:42:09.622-08:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.256179,-118.387689,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present",Fully submerged,Submerged 3-30cm,Basin/wash
K0569_T9,2021-02-21T14:51:39.210-08:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.256203,-118.387678,"all hard bottom, entirely channelized, concrete fully present","Yes, thin layer present",Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0592_A1,2021-02-21T14:56:53.334-08:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.256576,-118.387367,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0600_K6,2021-02-21T15:10:41.447-08:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.256055,-118.387624,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present",Fully submerged,Top layer (top 3cm) soil or sediment,Open water
VW_DB1,2021-02-21T15:15:32.275-08:00,Sample,Water,DB,Verdugo_Wash,Verdugo_Wash_DB,Yes,34.202446,-118.23763,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
VW_DB2,2021-02-21T15:20:29.979-08:00,Sample,Water,DB,Verdugo_Wash,Verdugo_Wash_DB,Yes,34.203285,-118.23796,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
VW_PN1,Control,Sample,Water,PN,Verdugo_Wash,Verdugo_Wash_PN,Yes,34.203135,-118.237785,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
VW_PN2,Control,Sample,Water,PN,Verdugo_Wash,Verdugo_Wash_PN,Yes,34.20335,-118.238008,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0592_B2,Control,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.203175,-118.237755,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Basin/wash
K0592_C3,Control,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.202498,-118.23752,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0592_E4,Control,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.20325,-118.237926,"all soft bottom, no concrete present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0592_G5,Control,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.202621,-118.23763,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0592_K6,Control,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.203232,-118.237832,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Basin/wash
K0598_E4,Control,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.202998,-118.237752,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Basin/wash
K0598_K6,Control,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.202767,-118.237724,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0600_G5,Control,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.202381,-118.237491,"all soft bottom, no concrete present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
