Sample,Sample_original_fastq,Date_Collected,Sample_or_Control,Substrate,SampleType,Site,Site_SampleType,Include_in_Levi_analysis,Latitude,Longitude,River_Bottom,River_Portion,Biofilm,Habitat,Depth,Features
K0527_B2_2,K0527_B2_2,2020-09-14T10:35:37.688-07:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Maybe,33.987797,-118.172455,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
K0527_C3,K0527_C3,2020-09-14T10:35:42.643-07:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.988033,-118.172607,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Slope/slant
K0527_E4,K0527_E4,2020-09-14T10:40:35.346-07:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.987023,-118.171842,concrete channel,river,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Basin/wash
K0527_K6,K0527_K6,2020-09-14T10:41:06.975-07:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.986686,-118.171342,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
K0527_L7,K0527_L7,2020-09-14T10:43:21.848-07:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.987668,-118.172288,concrete channel,river,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Basin/wash
K0527_T9,K0527_T9,2020-09-14T10:45:42.080-07:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.986617,-118.171324,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
K0539_L7,K0539_L7,2020-09-14T10:53:01.092-07:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.986776,-118.17165,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
SD_DB1,SD_DR_1,2020-09-14T10:56:56.462-07:00,,Water,DB,Sepulveda_Dam,Sepulveda_Dam_DB,Yes,34.168766,-118.474734,soft bottom,creek,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
SD_DB2,SD_DR_2,2020-09-14T11:03:02.758-07:00,,Water,DB,Sepulveda_Dam,Sepulveda_Dam_DB,Yes,34.168679,-118.474953,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
SD_PN1,SD_PN_1,2020-09-14T11:08:39.625-07:00,,Water,PN,Sepulveda_Dam,Sepulveda_Dam_PN,Yes,34.168674,-118.474865,soft bottom,creek,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
SD_PN2,SD_PN_2,2020-09-14T11:08:52.904-07:00,,Water,PN,Sepulveda_Dam,Sepulveda_Dam_PN,Yes,34.168698,-118.474929,concrete channel,river,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
K0593_G5,K0593_G5,2020-09-14T11:59:20.387-07:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.168961,-118.475292,soft bottom,river,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0594_A1,K0594_A1,2020-09-14T12:03:32.561-07:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.168698,-118.475195,soft bottom,river,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0594_T9,K0594_T9,2020-09-14T12:04:30.955-07:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.168961,-118.475292,soft bottom,river,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0595_G5,K0595_G5,2020-09-14T12:06:57.145-07:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.168941,-118.47461,soft bottom,creek,unknown,"Terrestrial habitat, not submerged",Top layer (top 3cm) soil or sediment,Basin/wash
K0597_T9,K0597_T9,2020-09-14T12:09:30.355-07:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.1688,-118.475049,soft bottom,river,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0599_G5,K0599_G5,2020-09-14T12:16:55.318-07:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.16868,-118.474846,soft bottom,creek,unknown,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0599_K6,K0599_K6,2020-09-14T12:18:35.012-07:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.168906,-118.475125,soft bottom,river,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0599_T9,K0599_T9,2020-09-14T12:20:11.729-07:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.168758,-118.474733,soft bottom,creek,unknown,Rarely submerged or wetland or arroyo,Top layer (top 3cm) soil or sediment,Basin/wash
TW_DB1,TW_DR_1,2020-09-14T12:24:52.238-07:00,,Water,DB,Tujunga_Wash,Tujunga_Wash_DB,Yes,34.258182,-118.386686,concrete channel,wash,unknown,Fully submerged,Submerged 3-30cm,Pit or ravine Flat land/terrace
TW_DB2,TW_DR_2,2020-09-14T12:28:01.091-07:00,,Water,DB,Tujunga_Wash,Tujunga_Wash_DB,Yes,34.257855,-118.386887,concrete channel,wash,unknown,Fully submerged,Submerged 3-30cm,Basin/wash Pit or ravine
TW_PN1,TW_PN_1,2020-09-14T12:34:11.068-07:00,,Water,PN,Tujunga_Wash,Tujunga_Wash_PN,Yes,34.258077,-118.386749,concrete channel,wash,unknown,Fully submerged,Submerged 3-30cm,Pit or ravine Flat land/terrace
TW_PN2,TW_PN_2,2020-09-14T13:36:17.968-07:00,,Water,PN,Tujunga_Wash,Tujunga_Wash_PN,Yes,34.257493,-118.38691,concrete channel,wash,unknown,Fully submerged,Submerged 3-30cm,Pit or ravine Flat land/terrace
K0593_A1,K0593_A1,2020-09-14T13:38:34.261-07:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.258032,-118.386781,concrete channel,wash,unknown,Fully submerged,Submerged 3-30cm,Pit or ravine Flat land/terrace
K0593_E4,K0593_E4,2020-09-14T13:41:37.530-07:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.258403,-118.386614,concrete channel,wash,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0595_M8,K0595_M8,2020-09-14T13:53:23.696-07:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.257481,-118.386845,concrete channel,wash,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0596_B2,K0596_B2,2020-09-14T13:55:56.516-07:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.258667,-118.386473,concrete channel,wash,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0597_E4,K0597_E4,2020-09-14T14:04:22.643-07:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.258716,-118.386376,concrete channel,wash,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0599_A1,K0599_A1,2020-09-14T14:06:06.462-07:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.258424,-118.386387,concrete channel,wash,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0599_E4,K0599_E4,2020-09-14T14:08:33.060-07:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.258395,-118.386592,concrete channel,wash,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0599_M8,K0599_M8,2020-09-14T14:12:01.326-07:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.258016,-118.386744,concrete channel,wash,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Pit or ravine Flat land/terrace
VW_DB1,VW_DR_1,2020-09-14T14:16:14.296-07:00,,Water,DB,Verdugo_Wash,Verdugo_Wash_DB,Yes,34.203225,-118.237888,soft bottom,wash,unknown,Fully submerged,Submerged 3-30cm,Pit or ravine Flat land/terrace
VW_PN1,VW_PN_1,2020-09-14T14:17:00.000-07:00,,Water,PN,Verdugo_Wash,Verdugo_Wash_PN,Yes,34.2026,-118.237601,soft bottom,wash,unknown,Fully submerged,Submerged 3-30cm,Basin/wash
VW_PN2,VW_PN_2,2020-09-14T14:17:52.734-07:00,,Water,PN,Verdugo_Wash,Verdugo_Wash_PN,Yes,34.203045,-118.237733,soft bottom,wash,unknown,Fully submerged,Submerged 3-30cm,Basin/wash Rock mound
K0593_K6,K0593-K6,Control,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.202727,-118.237697,soft bottom,wash,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0593_L7,K0593_L7,Control,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.203216,-118.237654,soft bottom,wash,unknown,Fully submerged,Submerged 3-30cm,Flat land/terrace
K0593_M8,K0593-M8,Control,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.202477,-118.237538,soft bottom,wash,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0595_A1,K0595_A1,Control,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.202985,-118.237755,soft bottom,wash,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0595_K6,K0595-K6,Control,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.203021,-118.237799,soft bottom,wash,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0596_G5,K0596_G5,Control,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.202611,-118.237615,soft bottom,wash,unknown,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0596_K6,K0596-K6,Control,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.203855,-118.237912,concrete channel,wash,unknown,Fully submerged,Submerged 3-30cm,Basin/wash Pit or ravine
K0597_C3,K0597-C3,Control,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.203221,-118.237863,soft bottom,wash,unknown,Fully submerged,Submerged 3-30cm,Flat land/terrace
